Position,Location,Gender,Education,Experience (Years),Salary
QNXT technical role,Indore,Male,B.Com,5,1542337
"Sr. software engineer/.Net,Azure",Bengaluru,Male,B.Sc,25,1201635
Java Developer/Spring Boot,Hyderabad,Female,B.Com,17,889504
QNXT technical role,Mumbai,Female,B.Com,21,1510153
Tapestry Provider Analyst,Noida,Female,B.Tech/B.E.,11,2102215
FHIR SME,Bilaspur,Male,BCA,12,1221662
BA Healthcare/SQL,New Delhi,Male,B.Tech/B.E.,18,2138369
BA Healthcare/SQL,Pune,Male,B.Tech/B.E.,14,789599
BA Healthcare/SQL,New Delhi,Female,B.Tech/B.E.,14,798944
Sr. .Net developer,Noida,Female,B.Com,16,1760559
Sr. Data Platform Engineer,Pune,Male,B.Tech/B.E.,7,2292185
Associate Lead Analys,Hyderabad,Male,B.Tech/B.E.,6,1700968
Program Manager,Mumbai,Male,B.Com,17,1718251
Sr. Data Ingestion/Analytics Engineer,Kolkata,Male,B.Com,11,817399
QNXT technical role,Navi Mumbai,Male,B.Tech/B.E.,21,1063601
Cloud Architect,New Delhi,Male,BCA,16,987656
Scrum Master,Guwahati,Male,B.Tech/B.E.,11,1896642
Cloud Architect,Bengaluru,Male,B.B.A/ B.M.S,20,1164233
Scrum Master,Bengaluru,Female,B.Com,6,1963577
Scrum Master,Chennai,Male,B.Sc,17,1171848
QA Engineer,New Delhi,Male,B.Tech/B.E.,8,642646
QA Engineer,Bengaluru,Female,BCA,7,1142195
QA Engineer,Gurugram,Male,NA,28,2410384
Senior Analyst - UI/UX,New Delhi,Male,B.Tech/B.E.,26,978520
QA Engineer,Kolkata,Female,B.B.A/ B.M.S,12,1600494
"Tech Lead, DevOps, AWS",Pune,Female,B.Tech/B.E.,21,2415630
"Tech Lead, DevOps, AWS",New Delhi,Male,B.Tech/B.E.,21,1458717
GCP Engineer,New Delhi,Male,B.Sc,16,1615136
Business Analyst,New Delhi,Male,BCA,23,2297058
Business Analyst,Nagpur,Male,B.A,15,2213745
FHIR consultant,Noida,Female,B.Tech/B.E.,19,878001
QA Analyst,Mumbai,Male,B.Sc,21,2056298
QA Analyst,New Delhi,Male,B.Tech/B.E.,23,2029739
FileNet Admin,Tiruchirapalli,Male,B.Tech/B.E.,18,1364119
FileNet Admin,Mumbai,Female,BCA,21,2026301
QNXT technical SME,New Delhi,Male,B.Sc,15,1395454
Project Manager,Pune,Male,B.Tech/B.E.,22,678908
Sr. Software Enginee/ETL SQL PowerBI,Bengaluru,Female,BCA,16,1398537
QA Engagement Manager,Pune,Male,NA,13,1750099
Sr. Software Enginee/ETL SQL PowerBI,Pune,Male,B.Tech/B.E.,11,2037476
Sr. Program manager,Noida,Female,B.Com,14,1244762
QNXT testing SME,Bengaluru,Male,B.Tech/B.E.,12,1379013
BA Lead/Project manager,Noida,Male,B.Tech/B.E.,23,874206
BA Lead/Project manager,Dindigul,Male,B.Com,23,1725883
QA/SDET,Noida,Male,B.Sc,7,1854774
QA/SDET,Mumbai,Male,B.Sc,18,908939
QA Engineer,Bengaluru,Female,B.Tech/B.E.,6,859328
Tech Lead : Ab-initio/ ETL powerBI,Siliguri,Male,Diploma,19,2302344
Lead QA,Kolkata,Male,BCA,24,1325828
Product Manager,Hyderabad,Male,B.Tech/B.E.,8,1708653
RPA Engineer,Bengaluru,Male,BCA,28,578256
,Mumbai,Male,BCA,9,695736
Data Engineer / SQL/SSiS/Python,New Delhi,Male,B.Tech/B.E.,5,2251874
QNXT Claims and Enrollment,New Delhi,Male,B.Sc,28,1995902
QNXT Claims and Enrollment,New Delhi,Male,B.Sc,12,1572016
Azure architect,Noida,Male,Diploma,27,802759
QNXT Claims and Enrollment,Hyderabad,Female,B.Tech/B.E.,21,2414782
QNXT Claims and Enrollment,Gurugram,Male,B.B.A/ B.M.S,9,1741757
Provider Disputes Resource,"Noida, Delhi - Uttar Pradesh",Female,B.Sc,13,1521377
Provider Disputes Resource,Bengaluru,Female,B.Tech/B.E.,26,930763
Business Analyst/HRP,Pune,Male,B.A,20,1224436
Human Resources Associate,Mumbai,Male,B.Com,8,2340390
Human Resources Associate,Noida,Male,B.Tech/B.E.,5,2037996
Incident manager,New Delhi,Male,B.Tech/B.E.,21,1139397
Business Analyst/HRP,Navi Mumbai and pune - Maharashtra,Male,B.Sc,23,1555545
Technical Lead/SQL/SSIS/hadoop,Bengaluru,Female,B.A,25,1800392
Technical Lead/SQL/SSIS/hadoop,Lucknow,Female,B.Sc,8,2414826
GCP Cloud Architect,Ahmedabad,Male,BCA,10,1455960
Clinical Data/DevOps,Noida,Female,B.Tech/B.E.,14,1252936
Epic Implementation,Bengaluru,Female,B.Tech/B.E.,24,1806704
Epic Implementation,New Delhi,Female,B.Tech/B.E.,9,2444598
QA manager,Chennai,Male,B.Sc,27,755907
"Sr. Software/.Net, JavaScript",Jamshedpur,Male,B.Tech/B.E.,22,938401
Enterprise Architect,Pune,Male,B.Com,11,977804
Enterprise Architect,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,BCA,10,1794971
Azure Architect,New Delhi,Male,B.Sc,7,1142753
Azure Architect,Bengaluru,Female,B.Sc,12,1501797
Enterprise Architect,Bengaluru,Female,B.Tech/B.E.,7,535060
Reimbursement SME,Chennai,Female,B.Tech/B.E.,25,1553127
Reimbursement SME,Pune,Female,B.Com,17,705911
"QA Eng, Phoenix, AZ",Bengaluru,Male,B.Tech/B.E.,10,780456
"QA Eng, Phoenix, AZ",Chennai,Female,BCA,21,2138958
QA manager,Noida,Female,B.Tech/B.E.,11,545329
QA manager,Mumbai,Female,B.A,11,653662
Java Developer/Spring Boot,New Delhi,Male,NA,24,2257526
Product Owner,Visakhapatnam,Female,Diploma,27,663339
Office Manager,Mohali,Male,B.Tech/B.E.,21,1316686
Office Manager,Bengaluru,Male,B.Com,6,1335145
Product Owner,Kolkata,Female,B.Com,21,850189
.Net /JavaScript,Bengaluru,Male,B.A,10,2118969
Project Manager/ QA Manager,Kanpur,Female,B.Com,26,2061623
Senior Analyst - RPA,Bengaluru,Male,B.A,24,751269
Azure Architect,Gurugram,Male,B.Tech/B.E.,5,2240775
Clinical Data/DevOps,Lucknow,Male,B.Com,11,1861183
Azure architect,Gurugram,Male,B.Tech/B.E.,6,1869864
Informatica engineer,Nagpur,Male,B.Tech/B.E.,13,1328761
Senior Analyst - RPA,Bengaluru,Female,B.Sc,13,1918093
Product Manager/QA,Nagpur,Male,B.Tech/B.E.,19,2010495
Windchill Sol Architect,Pune,Female,Diploma,7,1276561
FrontEnd JavaScript,New Delhi,Female,BCA,19,2202881
.Net /JavaScript,New Delhi,Male,B.Tech/B.E.,16,882796
.Net /JavaScript,Mumbai,Male,B.Tech/B.E.,12,1796696
DevOps Eng,Noida,Female,B.Tech/B.E.,6,1483245
DevOps Eng,Noida,Male,B.Com,9,986541
QNXT Benefits/COB SME,Patna,Male,B.A,16,822544
Technical SME - Edifec,Bengaluru,Female,B.Com,17,2157051
Technical SME - Edifec,Kurnool,Female,B.Com,25,2425423
QNXT Configuration SME,work from home banglore - Karnataka,Female,B.B.A/ B.M.S,9,2055835
Java Developer,Hyderabad,Female,B.A,8,1640260
Java Developer,Hyderabad,Male,BCA,22,2273842
.Net Developer,Noida,Male,B.A,14,2216696
GCP Architect,Noida,Male,B.Tech/B.E.,25,598194
DevOps Product Owner Role,Noida,Female,B.Tech/B.E.,22,854607
Project manager,New Delhi,Male,B.A,8,1870532
IAM Expert,Dehli - Delhi,Female,B.B.A/ B.M.S,20,1039761
GCP Architect,Hyderabad,Male,Diploma,22,1683475
Cloud IAM Expert,Noida,Male,B.Tech/B.E.,11,1050071
.Net Architect,Dhanbad,Male,B.Tech/B.E.,20,608000
Enterprise Architect,New Delhi,Male,B.Tech/B.E.,19,2180848
Enterprise Architect,New Delhi,Male,B.Tech/B.E.,22,1480718
Enterprise Architect,Bengaluru,Male,B.A,9,780329
Salesforce Architect,Pune,Female,B.Tech/B.E.,7,1483747
Salesforce Architect,New Delhi,Female,NA,14,1932713
Account Manager,Bengaluru,Female,B.Tech/B.E.,17,2467795
Account Manager,Ghaziabad,Female,B.Com,17,2316375
Product Manager/DevOps/ IAM/PM,Mohali,Male,B.Sc,27,1843298
GCP Solution Engineer,Faridabad,Female,Diploma,12,804674
"GCP Data Engineer/Spark,Python",New Delhi,Male,B.Com,23,1011333
.Net Architect,Hyderabad,Female,B.Sc,9,582464
"GCP Data Engineer/Spark,Python",New Delhi,Male,Diploma,11,1011002
Cloud/ DevOps Engineer,Noida,Male,B.Tech/B.E.,28,1258974
Account Manager/ HealthCare(Payer/Provider),Chennai,Male,B.Tech/B.E.,6,1652571
Account Manager/ HealthCare(Payer/Provider),New Delhi,Female,Diploma,28,1784264
Account Manager/ HealthCare(Payer/Provider),New Delhi,Male,B.Tech/B.E.,6,2443835
Account Manager/ HealthCare(Payer/Provider),Hyderabad,Male,B.A,9,2199608
"API, C#, Selenium Testing",Bengaluru,Female,B.Sc,12,1844907
"API, C#, Selenium Testing",Lucknow,Male,B.Tech/B.E.,15,2487086
Cloud Engineer,New Delhi,Male,B.Tech/B.E.,24,2143072
SQL Developer,Gurugram,Male,Diploma,14,2475752
Infor M3 Technical,Pune,Male,B.Tech/B.E.,13,2040819
Database Tester,Paonta Sahib,Female,B.Tech/B.E.,6,1348590
Database Tester,Gurugram,Male,B.A,8,1082026
QNXT Technical SME,Pune,Male,BCA,9,1757813
Java Backend Developer,Hyderabad,Male,B.Com,24,1517253
QNXT Technical SME,Hyderabad,Male,B.B.A/ B.M.S,20,587655
QNXT Technical SME,Noida,Male,B.Tech/B.E.,25,2002624
Technical Program Manager,Bengaluru,Female,B.Com,16,1446963
QNXT technical Role,Gurugram,Male,B.Tech/B.E.,12,1825763
QNXT technical Role,Bengaluru,Male,B.A,20,1581824
Project Coordinator(QNXT),Bengaluru,Female,B.Sc,24,1095608
Project Coordinator(QNXT),Kolkata,Male,B.Tech/B.E.,5,569786
HealthCare System Analyst,Noida,Female,B.Sc,15,1191142
Systems Analyst (QNXT),London - United Kingdom (UK),Male,B.Com,28,1325478
Systems Analyst (QNXT),Pune,Male,B.Sc,15,1916954
Senior Analyst RPA BA,New Delhi,Male,Not Pursuing Graduation,21,1253886
Systems Analyst (QNXT),Bengaluru,Female,B.Tech/B.E.,8,854064
Systems Analyst (QNXT),Bahadurgarh,Male,B.Tech/B.E.,6,578682
Informatica Developer,Pune,Female,B.Tech/B.E.,27,1379842
Technical Writer (QNXT),Srinagar,Female,B.Sc,27,1966278
Informatica Developer,"Pune, kolhapur - Maharashtra",Female,B.Tech/B.E.,16,2301642
Informatica Developer,Chennai,Male,BJMC,18,2489343
Database Administrator,New Delhi,Female,B.A,16,1516972
Database Administrator,New Delhi,Male,B.Tech/B.E.,7,548047
"Business analysts(Provider, Payor, RCM)",Ghaziabad,Male,course on computer concepts,23,905051
"Business analysts(Provider, Payor, RCM)",Lucknow,Female,BCA,16,1283751
"Qnxt, .Net, SQL, JavaScript",Jaipur,Male,B.Des.,17,1802048
PowerBi/ETL/Azure/DataWarehouse,Noida,Male,B.A,20,1250257
PowerBi/ETL/Azure/DataWarehouse,Bengaluru,Male,B.Com,15,1225241
"GCP Data Engineer/Hadoop,Python",New Delhi,Male,B.Com,16,2047397
"DevOps/azure, python, java, terraform",Hyderabad,Male,BCA,24,1063016
"DevOps/azure, python, java, terraform",Pune,Male,B.Tech/B.E.,14,2393549
"Facets, Networx, Business Analyst",New Delhi,Female,B.Tech/B.E.,25,1448888
"Facets, Networx, Business Analyst",Rajahmundry,Female,B.Tech/B.E.,8,2371516
"Facets, Networx, Business Analyst",Faridabad,Female,B.Tech/B.E.,22,1988284
"Facets, Networx, Business Analyst",New Delhi,Male,B.Tech/B.E.,12,661279
"GCP Data Engineer/Hadoop,Python",New Delhi,Male,B.Tech/B.E.,25,2196469
Provider Dispute/Claims,Pune,Female,NA,19,904644
Provider Dispute/Claims,New Delhi,Male,B.A,5,2458249
QNXT/Business Analyst/QA/SQL,Uttar Pradesh - Uttar Pradesh,Female,B.Tech/B.E.,22,2172076
"GCP Solution Eng/GKE, python, sql",Bhopal,Female,B.Tech/B.E.,16,1750189
"GCP Solution Eng/GKE, python, sql",Varanasi,Female,B.Tech/B.E.,6,2381053
Facets EDM,Bengaluru,Male,B.Tech/B.E.,7,2117099
Hadoop Tester/Bigdata tester,Hyderabad,Female,B.Tech/B.E.,5,1592561
"Cloud engineer/ Gcp,kubernetes",Bengaluru,Male,BCA,18,826939
"Big Data Tester/ Hadoop, Azure",Mumbai,Male,B.Sc,27,1019514
"Big Data Tester/ Hadoop, Azure",MEERUT - United States (USA),Male,B.Sc,26,794000
Human Resources Associate,New Delhi,Male,B.A,11,1251626
Human Resources Associate,Pune,Male,B.Com,21,623617
"Big Data Lead/ Hive, Hadoop, python ",Noida,Female,B.Sc,9,915391
"EPIC Trainer/ EMR, Tapestry",Kota,Male,LLB,13,2087382
"EPIC Trainer/ EMR, Tapestry",Noida,Female,B.Com,12,2024984
".Net Lead/Angular, JavaScript",Kashipur,Male,B.Com,8,1120742
"Network Engineer , Firewall, NextGen",Bengaluru,Male,BCA,6,554511
"Bigdata tester, Hadoop, Azure",Noida,Female,B.A,15,1844740
Oracle PL/SQL developer,Noida,Female,B.A,7,2258895
SFDC Mulesoft Integration lead Developer,Sathyamangalam,Female,BCA,19,1783524
SFDC Mulesoft Integration lead Developer,Pune,Male,B.Com,6,712445
"EPIC Role, Cadence, My Chart, Cogito ",Ranchi - Madhya Pradesh,Female,B.Sc,16,2037291
"HRP Pricing resources, HealthRules",Coimbatore,Male,B.Com,23,2207956
"DevOps manager, SAAS, Linux",Gurugram,Male,Diploma,14,879639
BI Architect,New Delhi,Female,NA,7,1759763
"Tech Support, Incident manager",Bengaluru,Female,B.Com,7,1598332
"Tech Support, Incident manager",Chandigarh,Male,B.Com,5,539460
SAP S4 HANA FICO Consultant,Noida,Male,B.Sc,21,2300210
Business Analyst  AML/KYC,Mumbai,Female,B.Com,9,1028278
Oracle PL/SQL developer,Bengaluru,Female,BCA,15,1167760
DevOps Infrastructure Eng,Hyderabad,Female,B.Tech/B.E.,17,2297251
Facets Technical Consultant ,Kolkata,Male,B.Tech/B.E.,28,718306
Cerner Project manager,Bengaluru,Female,B.Tech/B.E.,5,2429554
"DevOps manager, SAAS, FedRAMP, FISMA",Gurugram,Female,B.Com,12,865345
Human resource Benefits associate,New Delhi,Male,B.Tech/B.E.,23,1510908
"IT Support, Network, Server",New Delhi,Female,B.Tech/B.E.,10,2240698
"IT Support, Network, Server",Kolkata,Male,B.Tech/B.E.,28,1807102
QNXT Testing Manager/Lead,Noida,Female,B.A,5,740061
QNXT Testing Manager/Lead,Durgapur,Male,BCA,14,1108373
.Net Developer  ,New Delhi,Female,B.Tech/B.E.,7,1282043
.Net Developer  ,Pune,Male,B.Tech/B.E.,6,2337100
.Net Developer  ,New Delhi,Male,BBA,20,1020213
"EPIC Tapestry Provider data, QNXT, Facets",Mumbai,Female,B.Com,15,1721237
Caboodle Developer,Mumbai,Female,B.Tech/B.E.,9,705186
"Automation QA .NET, Angular, C#, Selenium",Pune,Male,B.A,6,1209856
BI Cognos Developer,North Goa,Female,B.Sc,22,1016436
"SQL Developer, HRP",Patna,Female,BCA,5,551219
Cognos Developer,Mumbai,Female,Diploma,7,1981625
Advance Maths Teacher,New Delhi,Male,B.Tech/B.E.,12,1930000
Maths Teacher,Pune,Male,B.Sc,12,1392856
Maths Teacher,New Delhi,Male,BCA,21,688984
Research Analyst,Kolkata,Male,BCA,15,2170896
Maths Teacher,Pune,Male,B.Tech/B.E.,8,1382564
Maths Teacher,New Delhi,Male,B.Tech/B.E.,10,800433
Advance Maths Teacher,Bengaluru,Female,B.Com,23,1142389
Maths Teacher,Kolkata,Female,Diploma,14,997365
Maths Teacher,Gwalior,Male,B.Tech/B.E.,18,1067468
Maths Teacher,Noida,Female,B.Tech/B.E.,14,2323838
Advance Maths Teacher,New Delhi,Male,B.B.A/ B.M.S,7,2474655
Research Analyst,Bhiwandi,Male,B.Sc,26,1778809
Research Analyst,New Delhi,Male,B.A,20,532410
Maths Teacher,New Delhi,Male,B.Tech/B.E.,25,1806188
Advance Maths Teacher,Gwalior,Male,BCA,28,1272054
Research Analyst,Renukoot,Female,LLB,28,2261448
Research Analyst,Bengaluru,Male,B.Com,5,1597811
Research Analyst,Bengaluru,Male,B.Com,15,2457504
Research Analyst,Noida,Male,B.Sc,8,2236449
Research Analyst,Bengaluru,Female,B.A,17,2017013
Advance Maths Teacher,Noida,Male,B.Com,26,1812467
Research Analyst,Pune,Male,B.Tech/B.E.,11,830063
Research Analyst,Pune,Female,B.Tech/B.E.,8,2206645
Research Analyst,Noida,Male,B.A,18,1304850
Maths Teacher,Bengaluru,Male,BCA,5,1617207
Research Analyst,New Delhi,Male,BCA,10,2130784
Research Analyst,Mumbai,Female,B.Tech/B.E.,12,1657979
Research Analyst,Pune,Male,BCA,13,968911
Research Analyst,New Delhi,Male,B.Sc,19,1991056
Research Analyst,Mumbai,Female,B.Tech/B.E.,21,945414
Research Analyst,Meerut,Male,B.Tech/B.E.,6,1348353
Research Analyst,New Delhi,Male,B.Sc,24,2345967
Research Analyst,Gudivada,Male,B.Com,14,1826113
Maths Teacher,New Delhi,Female,B.Tech/B.E.,25,1205394
Maths Teacher,Siliguri,Female,B.Tech/B.E.,26,1683841
Research Analyst,nioda - Uttar Pradesh,Male,B.A,21,698544
Research Analyst,Noida,Male,BCA,9,758281
Research Analyst,Mumbai,NA,B.Tech/B.E.,5,1049817
Research Analyst,New Delhi,Female,B.B.A/ B.M.S,12,833359
Maths Teacher,Hyderabad,Female,B.A,15,1790518
Maths Teacher,Pune,Male,B.A,5,1013549
Research Analyst,New Delhi,Female,NA,20,985312
Research Analyst,Noida,Male,B.Sc,25,1074945
Maths Teacher,Noida,Female,B.Com,7,2401547
Maths Teacher,Gurugram,Female,B.Tech/B.E.,24,1265332
Research Analyst,New Delhi,Male,Diploma,14,620841
math /Research Analyst,New Delhi,Male,B.A,21,777869
Research Analyst,Dehradun,Male,B.A,6,1497200
Maths Teacher,Bengaluru,Male,B.Tech/B.E.,10,2386009
Advance Maths Teacher,Noida,Male,BCA,15,2476278
Research Analyst,New Delhi,Female,B.Tech/B.E.,12,533191
Research Analyst,Kolkata,Male,B.A,12,1263310
Research Analyst,Erode,Male,B.Tech/B.E.,5,685356
Research Analyst,New Delhi,Male,B.Tech/B.E.,15,1627468
Research Analyst,New Delhi,Male,B.Tech/B.E.,10,2186040
Advance Maths Teacher,New Delhi,Male,B.Tech/B.E.,8,633340
Research Analyst,Kolkata,Male,B.Tech/B.E.,26,1251058
Research Analyst,New Delhi,Female,B.Tech/B.E.,16,1652741
Research Analyst,New Delhi,Male,B.Tech/B.E.,17,515489
Research Analyst,Noida,Female,B.Com,16,1668249
Research Analyst,New Delhi,Female,B.Tech/B.E.,10,1249104
Research Analyst,New Delhi,Male,B.Com,15,788875
Research Analyst,New Delhi,Male,B.Sc,10,809243
Research Analyst,Mumbai,Female,B.Sc,9,2469183
Advance Maths Teacher,New Delhi,Female,BCA,22,1493992
Advance Maths Teacher,Chennai,Male,B.Tech/B.E.,5,766924
Advance Maths Teacher,New Delhi,Male,B.Sc,6,1056495
Advance Maths Teacher,Hyderabad,Female,NA,24,530692
Research Analyst,Hyderabad,NA,B.Tech/B.E.,22,1348788
Research Analyst,Hyderabad,Male,B.Tech/B.E.,24,1572680
Research Analyst,New Delhi,Male,BCA,14,1927489
Research Analyst,Pune,Female,B.A,18,1762519
Research Analyst,Bengaluru,Female,B.B.A/ B.M.S,20,551137
Research Analyst,New Delhi,Male,B.Tech/B.E.,13,1428812
Research Analyst,Bengaluru,Male,B.A,15,2271572
Research Analyst,New Delhi,Male,B.Tech/B.E.,15,899342
Advance Maths Teacher,Kolkata,Male,B.A,8,1931716
Research Analyst,New Delhi,Female,Diploma,18,1649713
Research Analyst,Meerut,NA,B.Com,18,1377599
Research Analyst,New Delhi,Female,B.Tech/B.E.,15,1652443
Research Analyst,Kolkata,Male,BCA,8,2279947
Advance Maths Teacher,New Delhi,Female,B.Tech/B.E.,19,1663943
Research Analyst,Pune,Male,B.Tech/B.E.,20,2359640
Research Analyst,Noida,Female,B.Tech/B.E.,25,2325612
Research Analyst,New Delhi,Male,B.Sc,23,1499593
Advance Maths Teacher,Bhubaneswar,Female,B.Tech/B.E.,21,553169
Research Analyst,New Delhi,Male,B.Tech/B.E.,21,1257089
Research Analyst,New Delhi,Female,B.Tech/B.E.,17,1462569
Research Analyst,New Delhi,Female,B.Sc,26,1972994
Research Analyst,Noida,Female,BCA,13,1264979
Research Analyst,Hyderabad,Male,B.Com,11,1025725
ServiceNow,Chennai,Female,B.Tech/B.E.,14,1071751
Research Analyst,Rudrpur - Uttarakhand,Female,B.Com,19,766245
Research Analyst,Kolkata,Female,BCA,28,2002160
ServiceNow,Hyderabad,Female,B.B.A/ B.M.S,22,598312
Research Analyst,Bengaluru,Female,B.Tech/B.E.,23,1871892
Research Analyst,Bengaluru,Male,BCA,17,556612
Research Analyst,Hyderabad,Female,B.Tech/B.E.,7,1158316
Research Analyst,Bengaluru,Female,B.Com,28,1816082
ServiceNow,Noida,Male,B.Com,17,2139392
Research Analyst,Noida,Male,B.Tech/B.E.,21,1820547
Research Analyst,Hyderabad,Female,B.Tech/B.E.,6,2441052
Research Analyst,Mumbai,Male,B.Tech/B.E.,5,1179260
Research Analyst,New Delhi,Male,B.Tech/B.E.,18,1446629
Research Analyst,Mumbai,Male,B.Tech/B.E.,10,1308430
Research Analyst,Gurugram,Male,B.Sc,5,2377383
Research Analyst,Pune,Male,B.Tech/B.E.,6,2206343
Research Analyst,Mumbai,Male,B.A,14,1576398
Research Analyst,New Delhi,Male,B.Com,28,1954773
ServiceNow,Hyderabad,Male,B.Sc,22,1026852
Research Analyst,New Delhi,Male,B.Sc,12,2147291
Research Analyst,Gurugram,Male,B.Com,21,1577275
Research Analyst,Kanpur,Male,B.A,18,1668337
Research Analyst,Noida,Male,B.Sc,22,1845233
Research Analyst,New Delhi,Male,B.Sc,7,621536
Research Analyst,Dehradun,Male,B.Com,21,671437
Research Analyst,New Delhi,Male,B.Tech/B.E.,20,1747631
Research Analyst,New Delhi,Female,B.A,14,2468043
Research Analyst,Pune,Male,B.Sc,13,1011343
Research Analyst,Noida,Male,B.Tech/B.E.,15,1989299
Research Analyst,Bengaluru,Male,B.Tech/B.E.,12,1287967
Research Analyst,New Delhi,Female,B.Tech/B.E.,26,1577892
Research Analyst,Pune,Male,B.Sc,20,703837
Research Analyst,Hyderabad,Female,BCA,28,1847712
